id,sira,ders,sinif,unite,konu,baslik,kazanim_kodu,kazanim,aciklama,yorum,etiketler
biyoloji-ort-12_1_1_1,1,BİYOLOJİ,,,İndirgenme-Yükseltgenme Tepkimelerinde Elektrik Akımı,,12.1.1.1,Redoks tepkimelerini tanır.,"a. Yükseltgenme ve indirgenme kavramları üzerinde durulur. b. Redoks tepkimeleri denkleştirilerek yaygın yükseltgenler (O2, KMnO4, H2SO4, HNO3, H2O2) ve indirgenler (H2, SO2) tanıtılır. c. İyonik redoks tepkimelerinin denkleştirilmesine girilmez.","Kazanımın odağı, öğrencinin redoks tepkimelerini tanır. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",i̇ndirgenme-yükseltgenme; tepkimelerinde; elektrik; akımı; redoks; tepkimelerini
biyoloji-ort-12_1_1_2,2,BİYOLOJİ,,,İndirgenme-Yükseltgenme Tepkimelerinde Elektrik Akımı,,12.1.1.2,Redoks tepkimeleriyle elektrik enerjisi arasındaki ilişkiyi açıklar.,a. İndirgen-yükseltgen arasındaki elektron alışverişinin doğrudan temas dışında bir yolla mümkün olup olmayacağının üzerinde durulur. b. Elektrik enerjisi ile redoks tepkimesinin istemlilik/istemsizlik durumu ilişkilendirilir.,"Kazanımın odağı, öğrencinin redoks tepkimeleriyle elektrik enerjisi arasındaki ilişkiyi açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",i̇ndirgenme-yükseltgenme; tepkimelerinde; elektrik; akımı; redoks; tepkimeleriyle; enerjisi; arasındaki
biyoloji-ort-12_1_2_1,3,BİYOLOJİ,,,Elektrotlar ve Elektrokimyasal Hücreler,,12.1.2.1,Elektrot ve elektrokimyasal hücre kavramlarını açıklar.,"a. Katot ve anot kavramları, indirgenme-yükseltgenme ile ilişkilendirilerek ele alınır. b. Elektrot, yarı-hücre ve hücre kavramları üzerinde durulur. c. İnert elektrotların hangi durumlarda gerekli olduğu belirtilir. ç. Pillerde tuz köprüsünün işlevi açıklanır. d. Zn/Cu elektrokimyasal pili deneyi yaptırılır; bilişim teknolojilerinden (animasyon, simülasyon, video vb.) yararlanılarak da açıklanır.","Kazanımın odağı, öğrencinin elektrot ve elektrokimyasal hücre kavramlarını açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",elektrotlar; elektrokimyasal; hücreler; elektrot; hücre; kavramlarını
biyoloji-ort-12_1_3_1,4,BİYOLOJİ,,,Elektrot Potansiyelleri,,12.1.3.1,Redoks tepkimelerinin istemliliğini standart elektrot potansiyellerini kullanarak açıklar.,"a. Standart yarı hücre indirgenme potansiyelleri, standart hidrojen yarı hücresi ile ilişkilendirilir. b. Metallerin aktiflik sırası üzerinde durulur. c. İki ayrı yarı hücre arasındaki istemli redoks tepkimesinin, standart indirgenme potansiyelleri ile ilişkilendirilmesi sağlanır. ç. Standart olmayan koşullarda elektrot potansiyellerinin hesaplanmasına yönelik çalışmalara yer verilir.","Kazanımın odağı, öğrencinin redoks tepkimelerinin istemliliğini standart elektrot potansiyellerini kullanarak açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",elektrot; potansiyelleri; redoks; tepkimelerinin; istemliliğini; standart; potansiyellerini; kullanarak
biyoloji-ort-12_1_4_1,5,BİYOLOJİ,,,Kimyasallardan Elektrik Üretimi,,12.1.4.1,Standart koşullarda galvanik pillerin voltajını ve kullanım ömrünü örnekler vererek açıklar.,,"Kazanımın odağı, öğrencinin standart koşullarda galvanik pillerin voltajını ve kullanım ömrünü örnekler vererek açıklar. hedefidir.",kimyasallardan; elektrik; üretimi; standart; koşullarda; galvanik; pillerin; voltajını
biyoloji-ort-12_1_4_2,6,BİYOLOJİ,,,Kimyasallardan Elektrik Üretimi,,12.1.4.2,Lityum iyon pillerinin önemini kullanım alanlarıyla ilişkilendirerek açıklar.,Öğrencilerin lityum iyon pilleri ve güncel kullanım alanlarını açıklayan bir poster hazırlamaları ve sınıfta sunmaları sağlanır.,"Kazanımın odağı, öğrencinin lityum iyon pillerinin önemini kullanım alanlarıyla ilişkilendirerek açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",kimyasallardan; elektrik; üretimi; lityum; iyon; pillerinin; önemini; kullanım
biyoloji-ort-12_1_5_1,7,BİYOLOJİ,,,Elektroliz,,12.1.5.1,"Elektroliz olayını elektrik akımı, zaman ve değişime uğrayan madde kütlesi açısından açıklar.","a. 1 mol elektronun toplam yükü üzerinden elektrik yükü-kütle ilişkisi kurulması sağlanır. b. Yük birimi Coulomb (C) tanımlanır. c. Faraday bağıntısı açıklanarak bu bağıntının kullanıldığı hesaplamalar yapılır. ç. Öğrencilerin Faraday bağıntısını elektronik tablolama programı kullanarak kurgulamaları, değerleri değiştirerek gerçekleşen değişiklikleri gözlemlemeleri ve yorumlamaları sağlanır. d. Kaplama deneyi yaptırılır.","Kazanımın odağı, öğrencinin elektroliz olayını elektrik akımı, zaman ve değişime uğrayan madde kütlesi açısından açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",elektroliz; olayını; elektrik; akımı; zaman; değişime; uğrayan; madde
biyoloji-ort-12_1_5_2,8,BİYOLOJİ,,,Elektroliz,,12.1.5.2,Kimyasal maddelerin elektroliz yöntemiyle elde ediliş sürecini açıklar.,Suyun elektrolizi ile hidrojen ve oksijen eldesi deneyi yaptırılır.,"Kazanımın odağı, öğrencinin kimyasal maddelerin elektroliz yöntemiyle elde ediliş sürecini açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",elektroliz; kimyasal; maddelerin; yöntemiyle; elde; ediliş; sürecini
biyoloji-ort-12_1_6_1,9,BİYOLOJİ,,,Korozyon,,12.1.6.1,Korozyon önleme yöntemlerinin elektrokimyasal temellerini açıklar.,a. Korozyon kavramı açıklanır. b. Korozyondan koruma süreci metallerin aktiflik sırası ile ilişkilendirilir; kurban elektrot kavramı üzerinde durulur. c. Kurban elektrotun kullanım alanlarına örnekler verilir.,"Kazanımın odağı, öğrencinin korozyon önleme yöntemlerinin elektrokimyasal temellerini açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",korozyon; önleme; yöntemlerinin; elektrokimyasal; temellerini
biyoloji-ort-12_2_1_1,10,BİYOLOJİ,,KARBON KİMYASINA GİRİŞ,Anorganik ve Organik Bileşikler,,12.2.1.1,Anorganik ve organik bileşikleri ayırt eder.,a. Organik bileşik kavramının tarihsel gelişimi açıklanır. b. Anorganik ve organik bileşiklerin özellikleri vurgulanır.,"Kazanımın odağı, öğrencinin anorganik ve organik bileşikleri ayırt eder. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",anorganik; organik; bileşikler; bileşikleri; ayırt; karbon; ki̇myasina; gi̇ri̇ş
